date,mean_temp_c,total_rain_mm,total_precip_mm,total_snow_mm
2023-01-01,2.9,0.6,0.6,0.0
2023-01-02,1.8,0.0,0.0,0.0
2023-01-03,1.7,4.8,4.8,0.0
2023-01-04,2.6,16.6,16.6,0.0
2023-01-05,2.3,0.4,0.4,0.0
2023-01-06,1.3,0.0,0.0,0.0
2023-01-07,-1.6,0.0,0.0,0.0
2023-01-08,-3.8,0.0,0.0,0.0
2023-01-09,-0.4,0.0,0.0,0.0
2023-01-10,-0.6,0.0,0.0,0.0
2023-01-11,-1.7,0.0,0.0,0.0
2023-01-12,2.4,3.0,7.0,40.0
2023-01-13,-3.7,0.0,4.2,42.0
2023-01-14,-6.550000000000001,0.0,0.0,0.0
2023-01-15,-9.4,0.0,0.0,0.0
2023-01-16,-4.0,0.0,0.0,0.0
2023-01-17,-0.8999999999999997,4.4,4.4,0.0
2023-01-18,2.2,0.0,0.0,0.0
2023-01-19,1.4,5.7,5.7,0.0
2023-01-20,1.1,3.2,3.2,0.0
2023-01-21,-0.9,0.0,0.0,0.0
2023-01-22,-0.9,0.0,5.3,53.0
2023-01-23,-1.1,0.0,0.0,0.0
2023-01-24,-1.8,0.0,0.0,0.0
2023-01-25,-1.2,0.0,17.2,172.0
2023-01-26,-2.3,0.0,2.3,23.0
2023-01-27,-1.8,0.0,0.5,5.0
2023-01-28,-0.4,0.0,0.0,0.0
2023-01-29,-2.1,1.3,2.9,16.0
2023-01-30,-5.8,0.0,0.4,4.0
2023-01-31,-10.8,0.0,0.0,0.0
2023-02-01,-7.95,0.0,0.0,0.0
2023-02-02,-5.1,0.0,0.0,2.0
2023-02-03,-7.7,0.0,0.3,4.0
2023-02-04,-10.3,0.0,0.0,2.0
2023-02-05,1.4,0.0,0.0,0.0
2023-02-06,-0.4,0.0,0.0,0.0
2023-02-07,1.8,0.0,0.0,0.0
2023-02-08,2.0,0.0,0.0,0.0
2023-02-09,2.5,28.8,28.8,0.0
2023-02-10,0.9,0.2,0.2,0.0
2023-02-11,-0.3,0.0,0.0,0.0
2023-02-12,1.6,0.0,0.0,0.0
2023-02-13,2.3,0.0,0.0,0.0
2023-02-14,2.0,0.0,0.0,0.0
2023-02-15,9.0,0.2,0.2,0.0
2023-02-16,2.0,2.5,2.5,0.0
2023-02-17,-4.3,3.8,4.2,4.0
2023-02-18,-3.3,0.0,0.0,0.0
2023-02-19,4.9,0.0,0.0,0.0
2023-02-20,1.6,0.0,0.0,0.0
2023-02-21,1.2,0.0,0.0,0.0
2023-02-22,-2.8,15.0,30.2,146.0
2023-02-23,-3.2,1.5,3.7,22.0
2023-02-24,-4.75,0.0,0.0,0.0
2023-02-25,-6.3,0.0,0.9,9.0
2023-02-26,-5.4,0.8,7.449999999999999,66.5
2023-02-27,-4.5,1.6,14.0,124.0
2023-02-28,-1.1,0.2,0.4,2.0
2023-03-01,-0.3,0.0,0.0,0.0
2023-03-02,0.4,0.0,0.0,0.0
2023-03-03,-2.0,5.4,15.9,105.0
2023-03-04,1.5,0.0,6.0,60.0
2023-03-05,0.2,0.0,0.0,0.0
2023-03-06,-0.3,0.0,0.0,0.0
2023-03-07,-0.8,0.0,0.0,0.0
2023-03-08,-1.0,0.0,0.0,0.0
2023-03-09,-1.8,0.0,0.0,0.0
2023-03-10,-1.7,0.0,15.0,150.0
2023-03-11,-3.9,0.0,1.8,18.0
2023-03-12,-2.7,0.0,1.0,10.0
2023-03-13,-3.3,0.0,0.2,2.0
2023-03-14,-3.9,0.0,0.0,0.0
2023-03-15,-0.6999999999999996,0.0,0.0,0.0
2023-03-16,2.5,3.6,3.6,0.0
2023-03-17,3.0,8.0,8.0,0.0
2023-03-18,-3.1,0.0,0.0,0.0
2023-03-19,-3.6,0.0,4.4,44.0
2023-03-20,0.9,0.0,0.0,0.0
2023-03-21,2.75,0.0,0.0,0.0
2023-03-22,4.6,2.2,2.2,0.0
2023-03-23,4.1,6.8,6.8,0.0
2023-03-24,1.8,0.0,0.0,0.0
2023-03-25,5.8,15.7,15.7,0.0
2023-03-26,5.3,0.0,0.0,0.0
2023-03-27,1.8,2.8,2.8,0.0
2023-03-28,2.7,0.0,0.0,0.0
2023-03-29,1.3,0.0,2.6,26.0
2023-03-30,-2.8,0.0,0.0,0.0
2023-03-31,4.2,31.2,31.2,0.0
2023-04-01,5.5,19.1,19.1,0.0
2023-04-02,-0.4,0.0,0.0,0.0
2023-04-03,6.8,3.0,3.0,0.0
2023-04-04,6.8,15.9,15.9,0.0
2023-04-05,8.7,15.6,15.6,0.0
2023-04-06,8.7,0.0,0.0,0.0
2023-04-07,1.1,0.0,0.0,0.0
2023-04-08,1.4,0.0,0.0,0.0
2023-04-09,5.049999999999999,0.0,0.0,0.0
2023-04-10,8.7,0.0,0.0,0.0
2023-04-11,12.0,0.0,0.0,0.0
2023-04-12,18.1,0.0,0.0,0.0
2023-04-13,20.2,0.0,0.0,0.0
2023-04-14,17.6,0.0,0.0,0.0
2023-04-15,17.1,0.0,0.0,0.0
2023-04-16,16.7,5.8,5.8,0.0
2023-04-17,4.5,1.0,1.0,0.0
2023-04-18,2.4,0.0,0.6,6.0
2023-04-19,4.8,0.0,0.0,0.0
2023-04-20,5.7,0.4,0.4,0.0
2023-04-21,13.9,8.8,8.8,0.0
2023-04-22,7.8,19.2,19.2,0.0
2023-04-23,5.7,0.6,0.6,0.0
2023-04-24,5.1,1.1,1.1,0.0
2023-04-25,4.8,0.0,0.0,0.0
2023-04-26,4.5,0.0,0.0,0.0
2023-04-27,5.2,0.0,0.0,0.0
2023-04-28,6.8,10.0,10.0,0.0
2023-04-29,9.9,4.0,4.0,0.0
2023-04-30,7.4,6.7,6.7,0.0
2023-05-01,5.9,0.8,0.8,0.0
2023-05-02,4.1,8.0,8.0,0.0
2023-05-03,5.5,9.2,9.2,0.0
2023-05-04,8.5,5.4,5.4,0.0
2023-05-05,9.1,0.0,0.0,0.0
2023-05-06,10.45,0.0,0.0,0.0
2023-05-07,11.8,2.8,2.8,0.0
2023-05-08,11.350000000000001,0.0,0.0,0.0
2023-05-09,10.9,0.0,0.0,0.0
2023-05-10,12.1,0.0,0.0,0.0
2023-05-11,17.2,0.0,0.0,0.0
2023-05-12,18.6,0.0,0.0,0.0
2023-05-13,17.4,0.0,0.0,0.0
2023-05-14,11.7,0.0,0.0,0.0
2023-05-15,11.6,0.0,0.0,0.0
2023-05-16,14.2,0.0,0.0,0.0
2023-05-17,6.9,0.0,0.0,0.0
2023-05-18,6.9,0.0,0.0,0.0
2023-05-19,13.3,3.6,3.6,0.0
2023-05-20,12.6,9.3,9.3,0.0
2023-05-21,15.6,0.0,0.0,0.0
2023-05-22,11.0,0.0,0.0,0.0
2023-05-23,13.5,0.0,0.0,0.0
2023-05-24,11.8,0.0,0.0,0.0
2023-05-25,9.9,0.0,0.0,0.0
2023-05-26,11.4,0.0,0.0,0.0
2023-05-27,15.7,0.0,0.0,0.0
2023-05-28,18.2,0.0,0.0,0.0
2023-05-29,17.2,0.0,0.0,0.0
2023-05-30,20.1,0.0,0.0,0.0
2023-05-31,21.5,0.0,0.0,0.0
2023-06-01,21.3,0.0,0.0,0.0
2023-06-02,24.6,0.0,0.0,0.0
2023-06-03,16.4,0.0,0.0,0.0
2023-06-04,15.1,0.0,0.0,0.0
2023-06-05,16.15,0.0,0.0,0.0
2023-06-06,17.2,0.0,0.0,0.0
2023-06-07,15.4,0.0,0.0,0.0
2023-06-08,14.5,0.0,0.0,0.0
2023-06-09,14.1,5.4,5.4,0.0
2023-06-10,17.0,0.0,0.0,0.0
2023-06-11,17.6,11.0,11.0,0.0
2023-06-12,14.1,31.4,31.4,0.0
2023-06-13,14.3,1.4,1.4,0.0
2023-06-14,16.0,10.0,10.0,0.0
2023-06-15,14.2,2.4,2.4,0.0
2023-06-16,17.6,6.6,6.6,0.0
2023-06-17,17.9,0.0,0.0,0.0
2023-06-18,17.3,0.0,0.0,0.0
2023-06-19,17.5,0.0,0.0,0.0
2023-06-20,19.5,0.0,0.0,0.0
2023-06-21,20.2,0.0,0.0,0.0
2023-06-22,18.4,0.0,0.0,0.0
2023-06-23,19.7,6.2,6.2,0.0
2023-06-24,21.8,1.0,1.0,0.0
2023-06-25,21.7,2.2,2.2,0.0
2023-06-26,20.7,3.0,3.0,0.0
2023-06-27,19.8,34.2,34.2,0.0
2023-06-28,18.7,0.0,0.0,0.0
2023-06-29,17.9,0.0,0.0,0.0
2023-06-30,22.3,0.4,0.4,0.0
2023-07-01,23.6,0.0,0.0,0.0
2023-07-02,20.9,15.9,15.9,0.0
2023-07-03,20.2,12.4,12.4,0.0
2023-07-04,22.6,15.4,15.4,0.0
2023-07-05,24.1,0.0,0.0,0.0
2023-07-06,24.9,2.6,2.6,0.0
2023-07-07,18.7,0.0,0.0,0.0
2023-07-08,17.5,1.5,1.5,0.0
2023-07-09,20.0,0.0,0.0,0.0
2023-07-10,20.8,0.0,0.0,0.0
2023-07-11,21.6,0.8,0.8,0.0
2023-07-12,19.3,7.8,7.8,0.0
2023-07-13,18.9,0.6,0.6,0.0
2023-07-14,20.0,0.0,0.0,0.0
2023-07-15,21.0,9.6,9.6,0.0
2023-07-16,22.0,0.2,0.2,0.0
2023-07-17,20.1,0.0,0.0,0.0
2023-07-18,20.2,0.0,0.0,0.0
2023-07-19,19.5,0.0,0.0,0.0
2023-07-20,21.2,8.2,8.2,0.0
2023-07-21,20.2,0.0,0.0,0.0
2023-07-22,19.8,0.0,0.0,0.0
2023-07-23,20.7,0.3,0.3,0.0
2023-07-24,21.7,0.0,0.0,0.0
2023-07-25,21.4,0.5,0.5,0.0
2023-07-26,23.1,30.6,30.6,0.0
2023-07-27,24.3,5.8,5.8,0.0
2023-07-28,23.9,0.0,0.0,0.0
2023-07-29,18.3,11.0,11.0,0.0
2023-07-30,18.0,0.0,0.0,0.0
2023-07-31,17.6,0.6,0.6,0.0
2023-08-01,16.9,0.0,0.0,0.0
2023-08-02,18.6,1.8,1.8,0.0
2023-08-03,22.2,4.4,4.4,0.0
2023-08-04,21.5,0.0,0.0,0.0
2023-08-05,18.8,0.0,0.0,0.0
2023-08-06,18.3,4.6,4.6,0.0
2023-08-07,20.9,0.9,0.9,0.0
2023-08-08,19.9,0.0,0.0,0.0
2023-08-09,21.1,0.0,0.0,0.0
2023-08-10,22.2,3.2,3.2,0.0
2023-08-11,18.8,0.0,0.0,0.0
2023-08-12,21.9,13.2,13.2,0.0
2023-08-13,19.5,0.0,0.0,0.0
2023-08-14,18.3,0.0,0.0,0.0
2023-08-15,18.0,38.3,38.3,0.0
2023-08-16,20.7,0.0,0.0,0.0
2023-08-17,20.1,11.4,11.4,0.0
2023-08-18,14.2,0.0,0.0,0.0
2023-08-19,16.4,0.0,0.0,0.0
2023-08-20,20.3,0.0,0.0,0.0
2023-08-21,19.3,0.0,0.0,0.0
2023-08-22,17.900000000000002,0.0,0.0,0.0
2023-08-23,16.5,17.6,17.6,0.0
2023-08-24,21.8,16.7,16.7,0.0
2023-08-25,19.7,0.0,0.0,0.0
2023-08-26,19.4,0.9,0.9,0.0
2023-08-27,15.7,0.0,0.0,0.0
2023-08-28,15.8,0.0,0.0,0.0
2023-08-29,17.3,6.0,6.0,0.0
2023-08-30,14.3,0.0,0.0,0.0
2023-08-31,14.2,0.0,0.0,0.0
2023-09-01,16.8,0.0,0.0,0.0
2023-09-02,17.3,0.0,0.0,0.0
2023-09-03,22.0,0.0,0.0,0.0
2023-09-04,24.9,0.0,0.0,0.0
2023-09-05,24.3,0.0,0.0,0.0
2023-09-06,24.8,0.0,0.0,0.0
2023-09-07,21.9,15.9,15.9,0.0
2023-09-08,16.9,0.0,0.0,0.0
2023-09-09,16.0,1.1,1.1,0.0
2023-09-10,17.55,0.0,0.0,0.0
2023-09-11,19.1,0.0,0.0,0.0
2023-09-12,16.9,0.6,0.6,0.0
2023-09-13,13.1,0.0,0.0,0.0
2023-09-14,13.4,0.0,0.0,0.0
2023-09-15,14.1,0.0,0.0,0.0
2023-09-16,14.266666666666666,0.0,0.0,0.0
2023-09-17,14.433333333333334,3.1,3.1,0.0
2023-09-18,14.6,2.2,2.2,0.0
2023-09-19,13.5,0.0,0.0,0.0
2023-09-20,14.8,0.6,0.6,0.0
2023-09-21,17.5,0.0,0.0,0.0
2023-09-22,15.8,0.0,0.0,0.0
2023-09-23,15.1,0.0,0.0,0.0
2023-09-24,14.7,0.0,0.0,0.0
2023-09-25,15.149999999999999,0.2,0.2,0.0
2023-09-26,15.6,0.0,0.0,0.0
2023-09-27,15.9,0.0,0.0,0.0
2023-09-28,14.4,2.2,2.2,0.0
2023-09-29,15.9,0.0,0.0,0.0
2023-09-30,17.7,0.0,0.0,0.0
2023-10-01,18.2,0.0,0.0,0.0
2023-10-02,20.1,0.0,0.0,0.0
2023-10-03,20.8,0.0,0.0,0.0
2023-10-04,21.2,0.0,0.0,0.0
2023-10-05,20.2,10.4,10.4,0.0
2023-10-06,15.0,7.0,7.0,0.0
2023-10-07,10.3,0.0,0.0,0.0
2023-10-08,7.8,4.4,4.4,0.0
2023-10-09,8.1,0.0,0.0,0.0
2023-10-10,9.5,1.8,1.8,0.0
2023-10-11,8.7,0.0,0.0,0.0
2023-10-12,10.5,0.0,0.0,0.0
2023-10-13,8.0,1.4,1.4,0.0
2023-10-14,9.6,5.6,5.6,0.0
2023-10-15,8.2,0.5,0.5,0.0
2023-10-16,8.7,0.0,0.0,0.0
2023-10-17,10.2,0.0,0.0,0.0
2023-10-18,9.4,0.0,0.0,0.0
2023-10-19,11.9,1.4,1.4,0.0
2023-10-20,12.2,6.5,6.5,0.0
2023-10-21,9.0,0.0,0.0,0.0
2023-10-22,7.35,0.0,0.0,0.0
2023-10-23,5.7,0.0,0.0,0.0
2023-10-24,14.3,0.0,0.0,0.0
2023-10-25,17.5,5.4,5.4,0.0
2023-10-26,17.1,4.4,4.4,0.0
2023-10-27,19.1,1.4,1.4,0.0
2023-10-28,11.8,0.0,0.0,0.0
2023-10-29,5.9,6.3,6.3,0.0
2023-10-30,3.6,5.2,5.2,0.0
2023-10-31,1.3,0.0,0.0,0.0
2023-11-01,1.1,0.0,0.0,0.0
2023-11-02,2.9,0.0,0.0,0.0
2023-11-03,9.8,0.0,0.0,0.0
2023-11-04,9.0,1.9,1.9,0.0
2023-11-05,6.4,0.0,0.0,0.0
2023-11-06,9.8,4.0,4.0,0.0
2023-11-07,6.5,0.0,0.0,0.0
2023-11-08,-0.4,14.2,14.2,0.0
2023-11-09,5.8,0.9,0.9,0.0
2023-11-10,6.7,0.0,0.0,0.0
2023-11-11,2.9,0.0,0.0,0.0
2023-11-12,4.4,0.0,0.0,0.0
2023-11-13,5.9,0.0,0.0,0.0
2023-11-14,4.7,0.0,0.0,0.0
2023-11-15,6.6,0.0,0.0,0.0
2023-11-16,7.1,0.0,0.0,0.0
2023-11-17,7.0,1.4,1.4,0.0
2023-11-18,2.2,0.0,0.0,0.0
2023-11-19,1.7,0.0,0.0,0.0
2023-11-20,-2.4,0.0,0.0,0.0
2023-11-21,2.3,12.2,12.2,0.0
2023-11-22,4.8,0.2,0.2,0.0
2023-11-23,2.7,0.0,0.0,0.0
2023-11-24,-1.6,0.0,0.0,0.0
2023-11-25,-1.2,0.0,0.0,0.0
2023-11-26,1.8,8.6,8.6,0.0
2023-11-27,-1.4,0.0,0.0,0.0
2023-11-28,-4.0,0.0,0.8,12.0
2023-11-29,-3.7,0.0,0.0,0.0
2023-11-30,2.8,0.0,0.0,0.0
2023-12-01,4.6,10.6,10.6,0.0
2023-12-02,2.1,1.5,1.5,0.0
2023-12-03,2.3,3.0,3.0,0.0
2023-12-04,1.7,0.0,0.0,0.0
2023-12-05,0.3,0.0,0.0,0.0
2023-12-06,-0.7,0.0,0.0,0.0
2023-12-07,1.5,0.0,1.4,18.0
2023-12-08,5.5,0.0,0.0,0.0
2023-12-09,10.6,8.4,8.4,0.0
2023-12-10,6.0,0.2,0.2,0.0
2023-12-11,0.7,0.0,0.0,0.0
2023-12-12,2.0,0.0,0.0,0.0
2023-12-13,-1.0,0.0,0.0,0.0
2023-12-14,-0.3,0.0,0.0,0.0
2023-12-15,5.8,0.0,0.0,0.0
2023-12-16,3.9,0.0,0.0,0.0
2023-12-17,4.9,6.6,6.6,0.0
2023-12-18,1.7,1.0,1.2,2.0
2023-12-19,-2.7,0.0,0.0,0.0
2023-12-20,-0.1,0.0,0.0,0.0
2023-12-21,-0.7,0.0,0.0,0.0
